product,apple,amazon,adorama,macmall,bestbuy,b_and_h,date
10.5-inch iPad Pro Smart Keyboard,159.0,,149.99,,152.99,149.99,08/26/2018
"12.9-inch iPad Pro (2017): Cellular, 256 GB - Gold",1079.0,,1079.0,1119.99,1079.99,1079.0,08/26/2018
"12.9-inch iPad Pro (2017): Cellular, 256 GB - Silver",1079.0,,1079.0,1119.99,1079.99,1079.0,08/26/2018
"12.9-inch iPad Pro (2017): Cellular, 256 GB - Space Gray",1079.0,,1079.0,1049.0,1079.99,1049.0,08/26/2018
"12.9-inch iPad Pro (2017): Cellular, 512 GB - Gold",1279.0,,1279.0,1274.0,1279.99,1279.0,08/26/2018
"12.9-inch iPad Pro (2017): Cellular, 512 GB - Silver",1279.0,,1279.0,1229.0,1279.99,1274.0,08/26/2018
"12.9-inch iPad Pro (2017): Cellular, 512 GB - Space Gray",1279.0,,1279.0,1274.0,1279.99,1229.0,08/26/2018
"12.9-inch iPad Pro (2017): Cellular, 64 GB - Gold",929.0,,929.0,924.0,929.99,924.0,08/26/2018
"12.9-inch iPad Pro (2017): Cellular, 64 GB - Silver",929.0,,929.0,924.0,929.99,929.0,08/26/2018
"12.9-inch iPad Pro (2017): Cellular, 64 GB - Space Gray",929.0,,929.0,924.0,929.99,879.0,08/26/2018
"12.9-inch iPad Pro (2017): Wi-Fi, 256 GB - Gold",949.0,,949.0,944.0,949.99,929.0,08/26/2018
"12.9-inch iPad Pro (2017): Wi-Fi, 256 GB - Silver",949.0,,949.0,944.0,949.99,929.0,08/26/2018
"12.9-inch iPad Pro (2017): Wi-Fi, 256 GB - Space Gray",949.0,,949.0,929.0,949.99,919.0,08/26/2018
"12.9-inch iPad Pro (2017): Wi-Fi, 512 GB - Gold",1149.0,,1149.0,1119.0,1149.99,1149.0,08/26/2018
"12.9-inch iPad Pro (2017): Wi-Fi, 512 GB - Silver",1149.0,,1149.0,1119.0,1149.99,1149.0,08/26/2018
"12.9-inch iPad Pro (2017): Wi-Fi, 512 GB - Space Gray",1149.0,,1149.0,1145.0,1149.99,1149.0,08/26/2018
"12.9-inch iPad Pro (2017): Wi-Fi, 64 GB - Gold",799.0,,799.0,807.99,799.99,799.0,08/26/2018
"12.9-inch iPad Pro (2017): Wi-Fi, 64 GB - Silver",799.0,,799.0,794.0,799.99,794.0,08/26/2018
"12.9-inch iPad Pro (2017): Wi-Fi, 64 GB - Space Gray",799.0,,799.0,794.0,799.99,799.0,08/26/2018
12.9-inch iPad Pro Smart Keyboard,169.0,,,,169.99,169.0,08/26/2018
Apple Pencil,99.0,,99.0,99.0,94.99,94.88,08/26/2018
iPad (2017): Cellular 128 GB - Gold,559.0,429.0,,,559.99,,08/26/2018
iPad (2017): Cellular 128 GB - Silver,559.0,,,449.0,,,08/26/2018
iPad (2017): Cellular 128 GB - Space Gray,559.0,434.92,,559.0,,,08/26/2018
iPad (2017): Cellular 32 GB - Gold,459.0,399.0,,,,,08/26/2018
iPad (2017): Cellular 32 GB - Silver,459.0,409.99,,,,,08/26/2018
iPad (2017): Cellular 32 GB - Space Gray,459.0,403.81,,,,,08/26/2018
iPad (2017): Wi-Fi 128 GB - Gold,429.0,,399.0,429.0,408.99,379.0,08/26/2018
iPad (2017): Wi-Fi 128 GB - Silver,429.0,,,,,,08/26/2018
iPad (2017): Wi-Fi 128 GB - Space Gray,429.0,405.0,,,257.99,,08/26/2018
iPad (2017): Wi-Fi 32 GB - Gold,329.0,315.91,319.0,,197.99,,08/26/2018
iPad (2017): Wi-Fi 32 GB - Silver,329.0,311.66,319.0,,296.99,,08/26/2018
iPad (2017): Wi-Fi 32 GB - Space Gray,329.0,317.01,329.0,,,,08/26/2018
iPad (2018): Cellular 128 GB - Gold,559.0,,559.0,559.0,559.99,559.0,08/26/2018
iPad (2018): Cellular 128 GB - Silver,559.0,,559.0,559.0,559.99,559.0,08/26/2018
iPad (2018): Cellular 128 GB - Space Gray,559.0,,559.0,559.0,559.99,559.0,08/26/2018
iPad (2018): Cellular 32 GB - Gold,459.0,,459.0,459.0,459.99,449.0,08/26/2018
iPad (2018): Cellular 32 GB - Silver,459.0,,459.0,459.0,459.99,459.0,08/26/2018
iPad (2018): Cellular 32 GB - Space Gray,459.0,,459.0,459.0,459.99,449.0,08/26/2018
iPad (2018): Wi-Fi 128 GB - Gold,429.0,,429.0,429.0,429.99,429.0,08/26/2018
iPad (2018): Wi-Fi 128 GB - Silver,429.0,,429.0,429.0,429.99,429.0,08/26/2018
iPad (2018): Wi-Fi 128 GB - Space Gray,429.0,,419.0,429.0,429.99,419.0,08/26/2018
iPad (2018): Wi-Fi 32 GB - Gold,329.0,,329.0,329.0,329.99,329.0,08/26/2018
iPad (2018): Wi-Fi 32 GB - Silver,329.0,,329.0,329.0,329.99,329.0,08/26/2018
iPad (2018): Wi-Fi 32 GB - Space Gray,329.0,,324.0,329.0,329.99,324.0,08/26/2018
iPad mini 4 Cellular Gold 128GB,529.0,,519.0,529.0,529.99,519.0,08/26/2018
iPad mini 4 Cellular Silver 128GB,529.0,,519.0,529.0,529.99,529.0,08/26/2018
iPad mini 4 Cellular Space Gray 128GB,529.0,,519.0,529.0,529.99,529.0,08/26/2018
iPad mini 4 Wi-Fi Gold 128GB,399.0,,389.0,399.0,399.99,389.0,08/26/2018
iPad mini 4 Wi-Fi Silver 128GB,399.0,335.48,389.0,399.0,399.99,389.0,08/26/2018
iPad mini 4 Wi-Fi Space Gray 128GB,399.0,,389.0,409.0,399.99,389.0,08/26/2018
AirPods,159.0,144.98,144.99,,159.99,159.0,08/26/2018
HomePod - Space Gray,349.0,,,,349.99,349.0,08/26/2018
HomePod - White,349.0,,,,349.99,349.0,08/26/2018
