adorama,amazon,apple,b_and_h,bestbuy,macmall,product,date
"10.5-inch iPad Pro (2017): Wi-Fi, 64 GB - Rose Gold",649.00,N/A,649.00,644.00,649.99,649.00,#m/#d/2018
"10.5-inch iPad Pro (2017): Wi-Fi, 64 GB - Silver",649.00,N/A,649.00,629.00,649.99,629.00,#m/#d/2018
"10.5-inch iPad Pro (2017): Wi-Fi, 64 GB - Space Gray",649.00,N/A,649.00,629.00,649.99,629.00,#m/#d/2018
10.5-inch iPad Pro Smart Keyboard,159.00,N/A,149.99,N/A,152.99,149.99,#m/#d/2018
"12.9-inch iPad Pro (2017): Cellular, 256 GB - Gold",1079.00,N/A,1079.00,1119.99,1079.99,1079.00,#m/#d/2018
"12.9-inch iPad Pro (2017): Cellular, 256 GB - Silver",1079.00,N/A,1079.00,1119.99,1079.99,1079.00,#m/#d/2018
"12.9-inch iPad Pro (2017): Cellular, 256 GB - Space Gray",1079.00,N/A,1079.00,1049.00,1079.99,1049.00,#m/#d/2018
"12.9-inch iPad Pro (2017): Cellular, 512 GB - Gold",1279.00,N/A,1279.00,1274.00,1279.99,1279.00,#m/#d/2018
"12.9-inch iPad Pro (2017): Cellular, 512 GB - Silver",1279.00,N/A,1279.00,1229.00,1279.99,1274.00,#m/#d/2018
"12.9-inch iPad Pro (2017): Cellular, 512 GB - Space Gray",1279.00,N/A,1279.00,1274.00,1279.99,1229.00,#m/#d/2018
"12.9-inch iPad Pro (2017): Cellular, 64 GB - Gold",929.00,N/A,929.00,924.00,929.99,924.00,#m/#d/2018
"12.9-inch iPad Pro (2017): Cellular, 64 GB - Silver",929.00,N/A,929.00,924.00,929.99,929.00,#m/#d/2018
"12.9-inch iPad Pro (2017): Cellular, 64 GB - Space Gray",929.00,N/A,929.00,924.00,929.99,879.00,#m/#d/2018
"12.9-inch iPad Pro (2017): Wi-Fi, 256 GB - Gold",949.00,N/A,949.00,944.00,949.99,929.00,#m/#d/2018
"12.9-inch iPad Pro (2017): Wi-Fi, 256 GB - Silver",949.00,N/A,949.00,944.00,949.99,929.00,#m/#d/2018
